word,definition,example,tags,dateAdded
Retention,The ability to remember and keep information over time.,This learning method helps improve long-term retention of new vocabulary.,"[""learning"",""memory""]",2025-03-16T03:36:50.408Z
Immersion,The act of surrounding yourself completely in a language or activity to learn it better.,Watching English series is a great way to create an immersion environment for learning.,"[""learning"",""language""]",2025-03-16T03:36:46.110Z
Exposure,The state of being introduced to or experiencing something repeatedly.,The second approach to vocabulary learning focuses on repeated exposure to new words.,"[""learning"",""concepts""]",2025-03-16T03:36:44.616Z
Transcription,The process of converting spoken language into written text.,I often use the Whisper model for accurate transcriptions of videos.,"[""language"",""technology""]",2025-03-16T03:36:42.427Z
Repetition,The act of doing something again and again to improve or learn.,"Repetition is key to mastering a new skill, like learning English vocabulary.","[""learning"",""concepts""]",2025-03-16T03:36:42.394Z
Quilt,"A type of blanket made by stitching together layers of fabric, often with decorative patterns.",I bought a new quilt cover to match my bedroom's decor.,"[""household"",""objects""]",2025-03-16T03:36:42.316Z
Daylight Saving Time,The practice of setting the clocks forward by one hour in spring and back by one hour in fall to make better use of natural daylight.,We had to adjust our program schedule to match the U.S. Daylight Saving Time changes.,,2025-03-16T03:34:11.684Z
Extravaganza,"A large, elaborate, and exciting event or show.",Singles' Day in China has turned into a shopping extravaganza that lasts for an entire month.,,2025-03-16T03:34:08.333Z
Snooze,"A short period of light sleep, especially one taken after the alarm rings.","I set my iPhone alarm and hit the snooze button, enjoying nine extra minutes of sleep.",,2025-03-16T03:34:08.080Z
Slim down,"To make something thinner, lighter, or smaller in size.",Apple managed to slim down the Mac Mini's design thanks to their M-series chips.,,2025-03-16T03:34:07.511Z
Interconnected,Linked or related to one another.,Computer techniques have made meteorology and programming more interconnected than ever before.,,2025-03-16T03:33:27.682Z
Versatility,The ability to adapt or be used in many different ways.,"Multi-modal AI models, like the one from Anthropic, show versatility in handling both text and screen interactions.",,2025-03-16T03:33:24.184Z
Scalable,Able to grow or expand to handle increased demand or workload.,Virtual threads make Java applications more scalable by managing thousands of concurrent tasks efficiently.,,2025-03-16T03:33:23.064Z
Seamless,"Smooth and continuous, with no disruptions or noticeable changes.",Anthropic's new AI features aim to create a seamless interaction between the model and your computer.,,2025-03-16T03:33:22.635Z
Cascade,"A process where something happens in a sequence, with each step triggering the next.","In programming, making one function asynchronous often causes a cascade of changes, requiring other functions to become asynchronous too.",,2025-03-16T03:33:19.084Z
Explicitness,"The quality of being clear and easy to understand, leaving no room for confusion.",Java's explicitness in exception handling ensures that errors are caught early in the development process.,,2025-03-16T03:33:16.527Z
Burdensome,"Something that is heavy or difficult to manage, either physically or mentally.","Reviewing hundreds of vocabulary words daily can become burdensome, but repetition eventually helps.",,2025-03-16T03:33:16.333Z
Disguise,To change one's appearance or behavior to conceal one's identity or blend in with surroundings.,"In the game, one of the hiders disguised herself as an old man by using makeup and walked around the square.",,2025-03-16T03:32:35.448Z
Hollow,Having an empty space inside.,"The seeker stepped on the piece of wood and noticed it was hollow, which led to discovering the hider beneath it.",,2025-03-16T03:32:34.862Z
Pile,A heap or stack of something.,The hider buried himself in a dirt pile and covered it with dry grass to blend into the environment.,,2025-03-16T03:32:33.180Z
ephemeral,lasting for a very short time,"Social media posts are often ephemeral, disappearing after 24 hours.",,2025-03-15T17:24:18.758Z
